Z,	X 
-0.1,	0.1 
-0.1,	0.13386773547094188 
-0.1,	0.16773547094188376 
-0.1,	0.20160320641282564 
-0.1,	0.23547094188376752 
-0.1,	0.2693386773547094 
-0.1,	0.3032064128256513 
-0.1,	0.3370741482965932 
-0.1,	0.370941883767535 
-0.1,	0.4048096192384769 
-0.1,	0.4386773547094188 
-0.1,	0.4725450901803607 
-0.1,	0.5064128256513025 
-0.1,	0.5402805611222444 
-0.1,	0.5741482965931863 
-0.1,	0.6080160320641281 
-0.1,	0.64188376753507 
-0.1,	0.6757515030060119 
-0.1,	0.7096192384769539 
-0.1,	0.7434869739478958 
-0.1,	0.7773547094188376 
-0.1,	0.8112224448897795 
-0.1,	0.8450901803607214 
-0.1,	0.8789579158316632 
-0.1,	0.9128256513026051 
-0.1,	0.946693386773547 
-0.1,	0.9805611222444888 
-0.1,	1.0144288577154308 
-0.1,	1.0482965931863728 
-0.1,	1.0821643286573146 
-0.1,	1.1160320641282564 
-0.1,	1.1498997995991984 
-0.1,	1.1837675350701402 
-0.1,	1.217635270541082 
-0.1,	1.251503006012024 
-0.1,	1.285370741482966 
-0.1,	1.3192384769539078 
-0.1,	1.3531062124248499 
-0.1,	1.3869739478957916 
-0.1,	1.4208416833667334 
-0.1,	1.4547094188376752 
-0.1,	1.4885771543086173 
-0.1,	1.522444889779559 
-0.1,	1.556312625250501 
-0.1,	1.5901803607214429 
-0.1,	1.6240480961923849 
-0.1,	1.6579158316633265 
-0.1,	1.6917835671342685 
-0.1,	1.7256513026052103 
-0.1,	1.7595190380761523 
-0.1,	1.793386773547094 
-0.1,	1.827254509018036 
-0.1,	1.8611222444889777 
-0.1,	1.8949899799599197 
-0.1,	1.9288577154308617 
-0.1,	1.9627254509018035 
-0.1,	1.9965931863727455 
-0.1,	2.0304609218436873 
-0.1,	2.064328657314629 
-0.1,	2.098196392785571 
-0.1,	2.1320641282565127 
-0.1,	2.165931863727455 
-0.1,	2.1997995991983967 
-0.1,	2.2336673346693385 
-0.1,	2.2675350701402803 
-0.1,	2.301402805611222 
-0.1,	2.335270541082164 
-0.1,	2.369138276553106 
-0.1,	2.403006012024048 
-0.1,	2.4368737474949898 
-0.1,	2.470741482965932 
-0.1,	2.504609218436874 
-0.1,	2.5384769539078156 
-0.1,	2.5723446893787574 
-0.1,	2.6062124248496996 
-0.1,	2.6400801603206414 
-0.1,	2.673947895791583 
-0.1,	2.7078156312625246 
-0.1,	2.741683366733467 
-0.1,	2.7755511022044086 
-0.1,	2.8094188376753504 
-0.1,	2.843286573146292 
-0.1,	2.8771543086172344 
-0.1,	2.911022044088176 
-0.1,	2.944889779559118 
-0.1,	2.97875751503006 
-0.1,	3.012625250501002 
-0.1,	3.046492985971944 
-0.1,	3.0803607214428856 
-0.1,	3.114228456913828 
